Time,IP1,Port1,IP2,Port2,Proto,1->2Bytes,2->1Bytes,1->2Pkts,2->1Pkts,packet_times,packet_sizes,packet_dirs
1606184514,137.110.0.70,443,192.168.1.204,62835,17,330,126,2,1,1606184514012;1606184514938;1606184514968;,192;126;138;,1;2;1;
1606184514,192.168.1.245,5353,224.0.0.251,5353,17,98,0,1,0,1606184514345;,98;,1;
1606184514,FE80::180B:42ED:197B:75E5,5353,FF02::FB,5353,17,118,0,1,0,1606184514345;,118;,1;
1606184514,192.168.1.240,5353,224.0.0.251,5353,17,143,0,1,0,1606184514448;,143;,1;
1606184514,FE80::426:B589:EABF:4EE,5353,FF02::FB,5353,17,163,0,1,0,1606184514448;,163;,1;
1606184515,137.110.0.70,443,192.168.1.204,62835,17,1541,496,4,4,1606184515076;1606184515101;1606184515205;1606184515206;1606184515769;1606184515808;1606184515892;1606184515928;,126;138;1127;118;126;138;126;138;,2;1;1;2;2;1;2;1;
1606184515,192.168.1.240,5353,224.0.0.251,5353,17,143,0,1,0,1606184515471;,143;,1;
1606184515,FE80::426:B589:EABF:4EE,5353,FF02::FB,5353,17,163,0,1,0,1606184515472;,163;,1;
1606184516,137.110.0.70,443,192.168.1.204,62835,17,593,309,2,2,1606184516293;1606184516293;1606184516308;1606184516331;,455;138;171;138;,1;2;2;1;
1606184517,137.110.0.70,443,192.168.1.204,62835,17,7220,44291,17,54,1606184517368;1606184517399;1606184517894;1606184517894;1606184517928;1606184517928;1606184517928;1606184517928;1606184517929;1606184517930;1606184517930;1606184517930;1606184517930;1606184517937;1606184517937;1606184517937;1606184517943;1606184517943;1606184517944;1606184517951;1606184517951;1606184517951;1606184517951;1606184517958;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517959;1606184517960;1606184517962;1606184517962;1606184517962;1606184517963;1606184517963;1606184517963;1606184517977;1606184517984;1606184517993;1606184517993;1606184517995;1606184517995;1606184517995;,126;138;1362;204;1346;1346;306;170;261;1008;1362;200;1002;130;130;130;650;177;308;153;141;373;149;142;339;1366;1366;565;1366;1366;565;1366;1366;565;1366;1366;565;1366;1366;565;1366;1065;1366;1366;565;1366;1366;565;1366;1366;565;1366;1366;565;1366;1366;565;645;238;591;599;136;136;136;138;149;209;602;138;590;150;,2;1;2;2;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;1;2;1;1;1;1;2;
